ano;mes;tempmaxabs;tempminabs;tempmaxmensal;tempmenmensal;tempmeda;ETP;precipitacao;DCCH
2017;fevereiro ;34,5;17,3;31,1;19,7;25,4;127;97,2;14
2017;março ;33,5;14,9;30,7;18,8;24,8;124;84,8;10
2017;abril ;32,5;12;29,2;17,3;23,2;87;64,1;8
2017;maio ;29,5;11,8;27,3;15,8;21,5;68;91,7;6
2017;junho ;30,5;5,8;26;12,8;19,4;54;0,3;1
2017;julho ;27,9;7,5;25,3;11,4;18,4;57;0;0
2017;agosto ;35;9,1;29,2;14,5;21,8;78;15,5;5
2017;setembro ;35,5;13,1;33,5;17,3;25,4;116;6,6;2
2017;outubro ;38,6;13;33,1;19,4;26,2;146;93,3;10
2017;novembro ;35,4;14,9;31,1;18,9;25;138;154,5;16
2017;dezembro ;34,5;17,7;31,1;20,1;25,6;157;193,1;16
2018;janeiro ;35;18,2;31;20,3;25,6;155;211;20
2018;fevereiro ;34,3;17,4;31,2;19,4;25,3;126;133,4;18
2018;março ;34,5;17,7;32,5;20,3;26,4;138;179,7;12
2018;abril ;32,5;14,3;30,4;17,4;23,9;94;15,6;6
2018;maio ;32,3;6;29;14,6;21,8;71;11,7;2
2018;junho ;31,4;11,5;28,9;14,7;21,8;62;0;0
2018;julho ;32,3;6,2;29,4;13,1;21,2;65;2,1;2
2018;agosto ;34,7;6,7;29,1;14,2;21,6;78;28,5;8
2018;setembro ;37,9;9,2;31;17,3;24,2;105;64,4;10
2018;outubro ;35,6;14,2;30,9;19,4;25,2;134;277,9;20
2018;novembro ;35,3;16,6;29,7;19,6;24,7;136;212,4;19
2018;dezembro ;36,1;16,4;32,4;20;26,2;160;89,2;15
2019;janeiro ;36,7;18,4;33,3;20,6;27;171;81,9;14
2019;fevereiro ;37,2;17,5;31,8;20;25,9;135;321;16
2019;março ;34,5;17,9;31,2;19,9;25,5;134;145,4;19
2019;abril ;33,8;13,4;31,2;18,1;24,7;102;134,4;6
2019;maio ;32,5;8,4;29,6;15,9;22,8;74;34,4;7
2019;junho ;30,7;8,6;28,1;13,8;21;60;7,6;1
2019;julho ;31,3;4,1;27,5;12,3;19,9;61;17,9;4
2019;agosto ;33,6;11,9;29,2;14,8;22;79;14,8;6
2019;setembro ;35,5;16;32,6;17,1;24,9;23;36,4;3
2019;outubro ;37,2;17,4;34,3;19,7;27;157;49,9;8
2019;novembro ;36,9;16,9;32;20;26;150;227,5;16
2019;dezembro ;34,4;17,4;31;20,3;25,7;157;177;20
2020;janeiro ;35,3;16,6;31,9;20,2;26,1;158;252;18
2020;fevereiro ;34,1;17,8;30,4;20,3;25,3;131;174,9;22
2020;março ;34,4;15,3;31,6;18,9;25,2;126;92,2;6
2020;abril ;33,8;13,6;30,5;16,1;23,3;87;13;1
2020;maio ;31;6,4;27,4;12,9;20,1;66;11,1;5
2020;junho ;31,6;9,8;28,8;14,7;21,8;62;19,1;4
2020;julho ;32,1;7,1;29,4;13,4;21,4;55;0;0
2020;agosto ;36,1;9;29,9;14,8;22,3;73;2;1
2020;setembro ;39,3;14,7;34,5;18,5;26,5;132;29,2;5
2020;outubro ;40,4;15,3;34,2;20,1;27,2;158;88;13
2020;novembro ;38,3;11,8;32,6;18,2;25,4;140;72,8;9
2020;dezembro ;35,6;16,7;31,5;19,8;25,7;157;468;24
2021;janeiro ;34,5;16,8;31,8;20,2;26;158;263,6;18
2021;fevereiro ;34,7;17;31,4;19,5;25,4;127;194,8;14
2021;março ;34,5;16,2;31,7;19,5;25,6;130;154;11
2021;abril ;31,3;14,9;25,1;17,8;21,5;16;0,3;1
2021;maio ;32,4;7,5;29;14;21,5;54;3,1;2
2021;junho ;31,8;3,1;28;13,6;20,8;59;15,8;1
2021;julho ;31,6;2,5;27,3;9,8;18,6;57;7,7;3
2021;agosto ;31,4;9,7;28,4;12,7;20,6;26;0;0
2021;setembro ;40,3;16;35,4;19,5;27,5;137;40,5;3
2021;outubro ;37,3;14;31,5;18,5;25;133;335,8;16
2021;novembro ;36,1;13,8;31,7;18,7;25,2;135;164,4;10
2021;dezembro ;34;14,4;30,9;19;24,9;146;154,4;17
