Cod_Municipio;RRAS;Ano2018;Ano2019;Ano2020;Ano2021;Ano2022;Ano2023
353150 MONTE AZUL PAULISTA;RRAS13;218;217;200;216;202;185
353160 MONTE CASTELO;RRAS11;48;57;38;44;49;30
353180 MONTE MOR;RRAS15;860;964;853;880;893;821
353170 MONTEIRO LOBATO;RRAS17;34;34;41;40;43;54
353190 MORRO AGUDO;RRAS13;394;381;349;300;315;332
353200 MORUNGABA;RRAS15;183;156;164;148;190;179
353205 MOTUCA;RRAS18;53;52;39;36;23;32
353210 MURUTINGA DO SUL;RRAS19;33;27;24;26;32;25
353215 NANTES;RRAS11;36;39;39;31;41;29
353220 NARANDIBA;RRAS11;66;80;73;91;77;88
353230 NATIVIDADE DA SERRA;RRAS17;65;55;53;56;64;62
353240 NAZARE PAULISTA;RRAS16;239;223;208;232;209;207
353250 NEVES PAULISTA;RRAS12;109;87;87;84;88;85
353260 NHANDEARA;RRAS12;108;71;93;74;75;83
353270 NIPOA;RRAS12;82;57;60;59;67;62
353280 NOVA ALIANCA;RRAS12;88;89;83;86;73;71
353282 NOVA CAMPINA;RRAS8;118;142;122;116;126;119
353284 NOVA CANAA PAULISTA;RRAS12;17;18;14;12;18;10
353286 NOVA CASTILHO;RRAS19;17;7;9;5;13;10
353290 NOVA EUROPA;RRAS18;143;114;133;113;94;92
353300 NOVA GRANADA;RRAS12;265;249;247;235;236;210
353310 NOVA GUATAPORANGA;RRAS11;33;26;29;22;21;18
353320 NOVA INDEPENDENCIA;RRAS19;59;60;47;49;41;51
353330 NOVA LUZITANIA;RRAS19;35;23;19;23;24;20
353340 NOVA ODESSA;RRAS15;702;685;621;681;577;615
353325 NOVAIS;RRAS12;49;58;57;57;51;67
353350 NOVO HORIZONTE;RRAS12;486;490;429;405;390;406
353360 NUPORANGA;RRAS13;82;83;86;87;74;70
353370 OCAUCU;RRAS10;63;71;58;58;74;62
353380 OLEO;RRAS10;30;24;23;26;15;17
353390 OLIMPIA;RRAS13;698;690;646;636;621;665
353400 ONDA VERDE;RRAS12;68;69;56;65;52;54
353410 ORIENTE;RRAS10;72;67;70;62;69;60
353420 ORINDIUVA;RRAS12;81;82;76;74;75;78
353430 ORLANDIA;RRAS13;458;474;427;436;413;437
353440 OSASCO;RRAS5;9975;9564;8911;8381;8118;8195
353450 OSCAR BRESSANE;RRAS10;34;18;17;16;15;15
353460 OSVALDO CRUZ;RRAS10;324;296;321;306;314;244
353470 OURINHOS;RRAS10;1298;1282;1308;1174;1171;1139
353480 OURO VERDE;RRAS11;100;103;96;100;99;83
353475 OUROESTE;RRAS12;131;149;98;82;92;102
353490 PACAEMBU;RRAS10;103;108;109;95;93;92
353500 PALESTINA;RRAS12;127;123;135;134;104;120
353510 PALMARES PAULISTA;RRAS12;140;103;138;118;105;89
353520 PALMEIRA D'OESTE;RRAS12;94;62;94;80;71;70
353530 PALMITAL;RRAS10;264;228;214;211;183;221
353540 PANORAMA;RRAS11;201;175;177;181;173;165
353550 PARAGUACU PAULISTA;RRAS10;612;488;524;475;442;429
353560 PARAIBUNA;RRAS17;216;178;195;206;203;196
353570 PARAISO;RRAS12;63;63;53;55;60;56
353580 PARANAPANEMA;RRAS9;244;254;263;268;285;276
353590 PARANAPUA;RRAS12;44;49;51;56;46;50
353600 PARAPUA;RRAS10;101;97;97;102;90;103
353610 PARDINHO;RRAS9;80;107;78;81;103;92
353620 PARIQUERA-ACU;RRAS7;295;278;282;264;238;265
353625 PARISI;RRAS12;36;32;29;29;28;19
353630 PATROCINIO PAULISTA;RRAS13;205;192;178;220;179;172
353640 PAULICEIA;RRAS11;98;108;100;118;99;86
353650 PAULINIA;RRAS15;1543;1526;1424;1326;1351;1400
353657 PAULISTANIA;RRAS9;27;24;28;23;24;27
353660 PAULO DE FARIA;RRAS12;88;74;93;67;74;75
353670 PEDERNEIRAS;RRAS9;579;547;503;533;538;539
353680 PEDRA BELA;RRAS16;78;80;75;77;74;77
353690 PEDRANOPOLIS;RRAS12;31;18;16;25;18;17
353700 PEDREGULHO;RRAS13;191;209;190;192;200;198
353710 PEDREIRA;RRAS15;477;488;438;453;445;485
353715 PEDRINHAS PAULISTA;RRAS10;33;31;31;20;34;28
353720 PEDRO DE TOLEDO;RRAS7;137;108;104;102;91;99
353730 PENAPOLIS;RRAS19;758;760;720;679;680;717
353740 PEREIRA BARRETO;RRAS19;297;255;243;257;198;235
353750 PEREIRAS;RRAS9;113;95;92;90;104;75
353760 PERUIBE;RRAS7;946;941;947;897;905;915
353770 PIACATU;RRAS19;66;59;49;47;54;52
353780 PIEDADE;RRAS8;704;685;662;640;615;633
353790 PILAR DO SUL;RRAS8;385;414;377;395;366;402
353800 PINDAMONHANGABA;RRAS17;2336;2300;2334;2213;2117;2172
353810 PINDORAMA;RRAS12;137;130;146;140;103;134
353820 PINHALZINHO;RRAS16;154;172;169;157;128;164
353830 PIQUEROBI;RRAS11;30;28;30;33;25;40
353850 PIQUETE;RRAS17;139;130;128;118;112;106
353860 PIRACAIA;RRAS16;349;322;316;297;359;313
353870 PIRACICABA;RRAS14;5067;4928;4907;4728;4767;4822
353880 PIRAJU;RRAS9;346;347;360;328;296;289
353890 PIRAJUI;RRAS9;210;244;212;178;182;181
353900 PIRANGI;RRAS12;128;139;107;103;120;102
353910 PIRAPORA DO BOM JESUS;RRAS5;273;258;182;234;236;216
353920 PIRAPOZINHO;RRAS11;310;323;263;263;257;241
353930 PIRASSUNUNGA;RRAS14;888;868;822;785;764;761
353940 PIRATININGA;RRAS9;173;166;183;143;165;155
353950 PITANGUEIRAS;RRAS13;504;471;424;441;392;401
353960 PLANALTO;RRAS12;76;51;59;62;36;50
353970 PLATINA;RRAS10;46;33;40;26;32;38
353980 POA;RRAS2;1588;1456;1367;1251;1261;1249
353990 POLONI;RRAS12;75;66;68;64;62;50
